Former,Current,Type
Bromus maritimus,Bromus sitchensis var. maritimus,INAT
Bromus molliformis,Bromus hordeaceus
Bromus mollis,Bromus hordeaceus
Bromus rigidus,Bromus diandrus
Bromus stamineus,Bromus catharticus var. elatus
Bromus subvelutinus,Bromus sitchensis var. marginatus
Bromus tectorum var. glabratus,Bromus tectorum
Bromus trinii var. trinii,Bromus berteroanus
Bulbostylis californica,Brickellia californica
Cakile edentula subsp. californica,Cakile edentula
Calandrinia menziesii var. macrocarpa,Calandrinia breweri
Calibrachoa parviflora,Petunia parviflora,INAT
Callitriche heterophylla subsp. bolanderi,Callitriche heterophylla var. bolanderi
Callitropsis macrocarpa,Hesperocyparis macrocarpa
Callitropsis sargentii,Hesperocyparis sargentii
Calochortus clavatus subsp. pallidus,Calochortus clavatus var. pallidus
Calochortus davidsonianus,Calochortus splendens
Calochortus venustus var. purpurescens,Calochortus venustus
Calycadenia hispida subsp. reducta,Calycadenia multiglandulosa
Calycadenia hispida,Calycadenia multiglandulosa
Calycadenia multiglandulosa subsp. bicolor,Calycadenia multiglandulosa
Calycadenia multiglandulosa subsp. cephalotes,Calycadenia multiglandulosa
Calycadenia multiglandulosa subsp. robusta,Calycadenia multiglandulosa
Calycadenia truncata subsp. scabrella,Calycadenia truncata
Camissonia boothii subsp. decorticans,Eremothera boothii subsp. decorticans
Camissonia graciliflora,Tetrapteron graciliflorum
Camissonia hirtella,Camissoniopsis hirtella
Camissonia intermedia,Camissoniopsis intermedia
Camissonia micrantha,Camissoniopsis micrantha
Camissonia ovata,Taraxia ovata
Campanula angustiflora var. exilis,Campanula griffinii
Cardamine californica var. californica,Cardamine californica
Cardamine californica var. cardiophylla,Cardamine californica
Cardamine californica var. cuneata,Cardamine californica
Cardamine californica var. integrifolia,Cardamine californica
Cardamine californica var. sinuata,Cardamine californica
Cardamine pachystigma var. dissectifolia,Cardamine californica
Cardaria chalepensis,Lepidium chalepense
Cardaria draba subsp. chalepensis,Lepidium chalepense
Cardaria draba,Lepidium draba
Cardaria pubescens var. elongata,Lepidium appelianum
Cardaria pubescens,Lepidium appelianum
Carex breviligulata,Carex densa
Carex deweyana subsp. leptopoda,Carex leptopoda
Carex dudleyi,Carex densa
Carex epapillosa,Carex heteroneura
Carex heteroneura var. epapillosa,Carex heteroneura
Carex heteroneura var. heteroneura,Carex heteroneura
Carex macloviana subsp. pachystachya,Carex pachystachya
Carex montereyensis,Carex harfordii
Carex olympica,Carex pachystachya
Carex ovalis,Carex leporina
Carex pachystachya var. gracilis,Carex pachystachya
Carex sitchensis,Carex aquatilis var. dives
Carex tracyi,Carex leporina
Carex vicaria,Carex densa
Castanopsis chrysophylla var. minor,Chrysolepis chrysophylla var. minor
Castilleja franciscana,Castilleja subinclusa subsp. franciscana
Castilleja jepsonii,Castilleja subinclusa subsp. subinclusa
Castilleja martini var. martini,Castilleja applegatei subsp. martinii,INAT
Castilleja martinii var. clokeyi,Castilleja applegatei subsp. martinii
Castilleja martinii,Castilleja applegatei subsp. martinii
Castilleja roseana,Castilleja applegatei subsp. martinii
Catapodium rigidum,Desmazeria rigida,INAT
Caucalis microcarpa,Yabea microcarpa
Caulanthus coulteri var. lemmonii,Caulanthus lemmonii
Caulanthus lasiophyllus var. inalienus,Caulanthus lasiophyllus
Caulanthus lasiophyllus var. rigidus,Caulanthus lasiophyllus
Caulanthus lasiophyllus var. utahensis,Caulanthus lasiophyllus
Ceanothus cuneatus var. dubius,Ceanothus cuneatus var. cuneatus
Ceanothus cuneatus var. submontanus,Ceanothus cuneatus var. cuneatus
Ceanothus divaricatus var. laetiflorus,Ceanothus leucodermis
Ceanothus sorediatus,Ceanothus oliganthus var. sorediatus
Cenchrus clandestinus,Pennisetum clandestinum,INAT
Cenchrus longisetus,Pennisetum villosum,INAT
Cenchrus setaceus,Pennisetum setaceum,INAT
Centaurea repens,Rhaponticum repens
Centaurium curvistamineum,Zeltnera muehlenbergii
Centaurium davyi,Zeltnera davyi
Centaurium exaltatum var. davyi,Zeltnera davyi
Centaurium floribundum,Zeltnera muehlenbergii
Centaurium muehlenbergii,Zeltnera muehlenbergii
Centaurium trichanthum,Zeltnera trichantha
Centromadia pungens subsp. maritima,Centromadia pungens subsp. pungens
Centromadia pungens subsp. septentrionalis,Centromadia pungens subsp. pungens
Centunculus minimus,Lysimachia minima
Cephalophora decurrens,Helenium puberulum
Cerastium fontanum subsp. triviale,Cerastium fontanum subsp. vulgare
Cerastium holosteoides,Cerastium fontanum subsp. vulgare,INAT
Ceratophyllum apiculatum,Ceratophyllum demersum
Chaenactis tanacetifolia,Chaenactis glabriuscula var. heterocarpha
Chaetopappa alsinoides,Pentachaeta alsinoides
Chamaemelum cotula,Anthemis cotula
Chamaemelum foetidum,Anthemis cotula
Chamaesyce maculata,Euphorbia maculata
Chamaesyce ocellata subsp. ocellata,Euphorbia ocellata subsp. ocellata
Chamaesyce serpens,Euphorbia serpens
Chamaesyce serpyllifolia subsp. serpyllifolia,Euphorbia serpillifolia subsp. serpillifolia
Chamomilla occidentalis,Matricaria occidentalis
Chamomilla suaveolens,Matricaria discoidea
Cheilanthes carlotta-halliae,Aspidotis carlotta-halliae
Cheilanthes covillei,Myriopteris covillei
Cheilanthes gracillima,Myriopteris gracillima
Cheilanthes intertexta,Myriopteris intertexta
Chenopodiastrum murale,Chenopodium murale,INAT
Chenopodium ambrosioides var. suffruticosum,Dysphania ambrosioides
Chenopodium ambrosioides,Dysphania ambrosioides
Chenopodium botrys,Dysphania botrys
Chenopodium macrospermum var. farinosum,Chenopodium macrospermum
Chenopodium macrospermum var. halophilum,Chenopodium macrospermum
Chenopodium multifidum,Dysphania multifida
Chenopodium subspicatum,Atriplex dioica
Chorizanthe coriacea,Lastarriaea coriacea
Chorizanthe cuspidata var. marginata,Chorizanthe cuspidata var. cuspidata
Chorizanthe lastarriaea var. californica,Lastarriaea coriacea
Chorizanthe pungens var. cuspidata,Chorizanthe cuspidata var. cuspidata
Chorizanthe pungens var. robusta,Chorizanthe robusta var. robusta
Chrysanthemum foeniculaceum,Argyranthemum foeniculaceum
Chrysanthemum parthenium,Tanacetum parthenium
Chrysanthemum segetum,Glebionis segetum
