taxon_name,status
Galium divaricatum
Galium murale
Galium parisiense
Galium porrigens var. porrigens
Galium porrigens var. tenue
Galium tricornutum
Galium trifidum subsp. columbianum
Galium triflorum
Gamochaeta pensylvanica
Gamochaeta ustulata
Garrya elliptica
Garrya flavescens
Gastridium phleoides
Gaultheria shallon
Genista monspessulana
Geranium carolinianum
Geranium core-core
Geranium dissectum
Geranium lucidum
Geranium molle
Geranium potentilloides
Geranium purpureum
Geranium robertianum
Geranium rotundifolium
Gilia achilleifolia subsp. achilleifolia
Gilia achilleifolia subsp. multicaulis
Gilia capitata subsp. capitata
Gilia capitata subsp. staminea
Gilia clivorum
Gilia tricolor subsp. diffusa
Gilia tricolor subsp. tricolor
Githopsis diffusa subsp. robusta
Githopsis specularioides
Glebionis segetum
Glinus lotoides
Glyceria declinata
Glyceria leptostachya
Glycyrrhiza lepidota
Gnaphalium palustre
Gratiola ebracteata
Grindelia camporum
Grindelia hirsutula
Grindelia stricta var. angustifolia
Gruvelia pusilla
Gutierrezia californica
Hainardia cylindrica
Hedera canariensis
Hedera helix
Hedypnois rhagadioloides
Helenium bigelovii
Helenium puberulum
Helianthella californica var. californica
Helianthella castanea
Helianthus annuus
Helianthus californicus
Helianthus gracilentus
Heliotropium curassavicum var. oculatum
Helminthotheca echioides
Hemizonia congesta subsp. lutescens
Hemizonia congesta subsp. luzulifolia
Heracleum maximum
Herniaria hirsuta var. cinerea
Hesperevax caulescens
Hesperevax sparsiflora var. sparsiflora
Hesperocnide tenella
Hesperocyparis macrocarpa,NC
Hesperocyparis sargentii
Hesperolinon breweri
Hesperolinon californicum
Hesperolinon clevelandii
Hesperolinon disjunctum
Hesperolinon micranthum
Heterocodon rariflorum
Heteromeles arbutifolia
Heterotheca grandiflora
Heterotheca oregona var. rudis
Heterotheca oregona var. scaberrima
Heterotheca sessiliflora subsp. bolanderi
Heterotheca sessiliflora subsp. echioides
Heuchera micrantha
Hibiscus lasiocarpos var. occidentalis
Hieracium albiflorum
Hirschfeldia incana
Hoita macrostachya
Holcus lanatus
Holcus mollis
Holocarpha heermannii
Holocarpha macradenia
Holocarpha obconica
Holocarpha virgata subsp. virgata
Holodiscus discolor var. discolor
Holozonia filipes
Hordeum brachyantherum subsp. brachyantherum
Hordeum brachyantherum subsp. californicum
Hordeum depressum
Hordeum jubatum subsp. jubatum
Hordeum marinum subsp. gussoneanum
Hordeum murinum subsp. glaucum
Hordeum murinum subsp. leporinum
Hordeum murinum subsp. murinum
Horkelia californica var. californica
Horkelia californica var. elata
Horkelia californica var. frondosa
Hornungia procumbens
Hosackia crassifolia var. crassifolia
Hosackia stipularis var. stipularis
Hydrocotyle ranunculoides
Hydrocotyle verticillata
Hydrophyllum occidentale
Hypericum androsaemum
Hypericum perforatum subsp. perforatum
Hypochaeris glabra
Hypochaeris radicata
Idahoa scapigera
Ilex aquifolium
Impatiens balfourii
Iris douglasiana
Iris foetidissima
Iris longipetala
Iris pseudacorus
Isoetes howellii
Isolepis carinata
Isolepis cernua
Iva axillaris
Jaumea carnosa
Juglans hindsii
Juncus acuminatus
Juncus ambiguus
Juncus balticus subsp. ater
Juncus bufonius var. bufonius
Juncus capitatus
Juncus effusus subsp. pacificus
Juncus elliottii
Juncus gerardi subsp. gerardi
Juncus lescurii
Juncus mexicanus
Juncus occidentalis
Juncus oxymeris
Juncus patens
Juncus phaeocephalus var. paniculatus
Juncus phaeocephalus var. phaeocephalus
Juncus tenuis
Juncus xiphioides
Juniperus californica
Keckiella breviflora var. breviflora
Keckiella corymbosa
Kickxia elatine
Kickxia spuria
Kniphofia uvaria
Koeleria gerardi
Koeleria macrantha
Kopsiopsis strobilacea
Lactuca saligna
Lactuca serriola
Lactuca virosa
Laennecia coulteri
Lagophylla ramosissima
Lamarckia aurea
Lamium amplexicaule
Landoltia punctata
Lapsana communis
Lastarriaea coriacea
Lasthenia californica subsp. californica
Lasthenia conjugens
Lasthenia ferrisiae
Lasthenia fremontii
Lasthenia glaberrima
Lasthenia glabrata subsp. glabrata
Lasthenia gracilis
Lasthenia microglossa
Lasthenia minor
Lasthenia platycarpha
Lathyrus jepsonii var. californicus
Lathyrus jepsonii var. jepsonii
Lathyrus latifolius
Lathyrus vestitus var. vestitus
Layia chrysanthemoides
Layia gaillardioides
Layia hieracioides
Layia platyglossa
Leersia oryzoides
Legenere limosa
Lemna gibba
Lemna minor
Lemna minuta
Lemna valdiviana
Lepechinia calycina
Lepidium acutidens
Lepidium appelianum
Lepidium chalepense
Lepidium coronopus
Lepidium dictyotum
Lepidium didymum
Lepidium draba
Lepidium latifolium
Lepidium latipes
Lepidium nitidum
Lepidium oxycarpum
Lepidium pinnatifidum
Lepidium strictum
Leptochloa fusca subsp. fascicularis
Leptochloa fusca subsp. uninervia
Leptosiphon ambiguus
Leptosiphon androsaceus
Leptosiphon aureus
Leptosiphon bicolor
Leptosiphon bolanderi
Leptosiphon ciliatus
Leptosiphon liniflorus
Leptosiphon parviflorus
Leptosiphon pygmaeus subsp. continentalis
Leptosyne calliopsidea
Leptosyne hamiltonii
Lessingia nemaclada
Lessingia pectinata var. tenuipes
Lessingia ramulosa
Lessingia tenuis
Lewisia rediviva var. rediviva
Ligusticum apiifolium
Ligustrum lucidum
Lilaeopsis masonii
Lilium pardalinum subsp. pardalinum
Limnanthes douglasii subsp. douglasii
Limnobium spongia
Limonium californicum
Limonium ramosissimum
Limosella acaulis
Limosella australis
Linanthus dichotomus subsp. dichotomus
Linanthus dichotomus subsp. meridianus
Linum bienne
Lithophragma affine
Lithophragma bolanderi
Lithophragma heterophyllum
Lithophragma parviflorum var. parviflorum
Lobularia maritima
Logfia filaginoides
Logfia gallica
Lomatium californicum
Lomatium caruifolium var. caruifolium
Lomatium caruifolium var. denticulatum
Lomatium dasycarpum subsp. dasycarpum
Lomatium macrocarpum
Lomatium nudicaule
Lomatium utriculatum
