taxon,common name,status,jepson id,calrecnum,inat id,RPI ID,CRPR,CESA
Cestrum parqui,Chilean jessamine,X,18790,8746,76226
Chaenactis glabriuscula var. glabriuscula,yellow pincushion,N,6951,1899,57924
Chaenactis glabriuscula var. heterocarpha,yellow pincushion,N,6954,1900,80548
Chasmanthe floribunda,African cornflag,X,19045,1951,56028
Chenopodium album,lamb's quarters,X,19131,1962,58127
Chenopodium berlandieri,pitseed goosefoot,N,19144,1966,58879
Chenopodium californicum,California pigweed,N,19155,1968,878230
Chenopodium macrospermum,coast goosefoot,X,19179,9069,76280
Chenopodium murale,sowbane,X,19182,1983,514012
Chenopodium rubrum,red goosefoot,N,19200,1988,931679
Chenopodium vulvaria,stinking goosefoot,X,19212,1991,76288
Chlorogalum pomeridianum var. minus,dwarf soaproot,N,56470,2005,80562,1618,1B.2
Chlorogalum pomeridianum var. pomeridianum,"soap plant,amole",N,56471,2006,59082
Chloropyron maritimum subsp. palustre,Pt. Reyes bird's-beak,N,93766,11259,79707,175,1B.2
Chloropyron molle subsp. hispidum,hispid bird's-beak,N,93770,11260,79708,176,1B.1
Chloropyron molle subsp. molle,soft bird's-beak,N,93771,11261,79709,177,1B.2,CR
Chloropyron palmatum,palmate bird's-beak,N,93768,11256,76298,502,1B.1,CE
Chorizanthe cuspidata var. cuspidata,San Francisco spineflower,N,56484,2025,80569,1620,1B.2
Chorizanthe membranacea,pink spineflower,N,19342,2034,58260
Chorizanthe polygonoides var. polygonoides,knotweed spineflower,N,56497,2043,64181
Chorizanthe robusta var. robusta,robust spineflower,N,56504,2054,80576,475,1B.1
Chorizanthe uniaristata,1-awned spineflower,N,19361,2058,58263
Chrysolepis chrysophylla var. minor,golden chinquapin,N,56512,2071,53365
Cicendia quadrangularis,Oregon timwort,N,19440,2105,57087
Cichorium intybus,chicory,X,2087,2107,52913
Cicuta douglasii,water hemlock,N,19447,2109,76338
Cicuta maculata var. bolanderi,water hemlock,N,56538,2111,60118,2178,2B.1
Cirsium andrewsii,Franciscan thistle,N,2094,2116,55294,479,1B.2
Cirsium brevistylum,Indian thistle,N,2110,2119,52993
Cirsium cymosum var. cymosum,peregrine thistle,N,85528,11529,80584
Cirsium douglasii var. douglasii,swamp thistle,N,7046,2127,80586
Cirsium fontinale var. campylon,Hamilton thistle,N,77400,2129,59750,480,1B.2
Cirsium occidentale var. californicum,California thistle,N,77401,2140,52622
Cirsium occidentale var. occidentale,cobweb thistle,N,7069,2143,52623
Cirsium occidentale var. venustum,venus thistle,N,56557,2144,52624
Cirsium quercetorum,brownie thistle,N,2232,2146,60954
Cirsium remotifolium var. odontolepis,,N,7076,11533,80596
Cirsium vulgare,bull thistle,X,2285,2151,52989
Citrullus lanatus var. citroides,watermelon,X,56575,9813,841204
Clarkia affinis,chaparral clarkia,N,19563,2159,58943
Clarkia biloba subsp. biloba,twolobe clarkia,N,49891,2168,51857
Clarkia breweri,Brewer's clarkia,N,19571,2174,56067,159,4.2
Clarkia concinna subsp. automixa,Santa Clara red ribbons,N,49895,2176,51856,1629,4.3
Clarkia concinna subsp. concinna,red ribbons,N,49896,2177,51855
Clarkia franciscana,Presidio clarkia,N,19579,2187,61899,162,1B.1,CE
Clarkia gracilis subsp. gracilis,slender clarkia,N,49901,2190,61896
Clarkia modesta,,N,19588,2200,58946
Clarkia purpurea subsp. purpurea,purple clarkia,N,49906,2207,79741
Clarkia purpurea subsp. quadrivulnera,four-spot,N,49907,2208,57146
Clarkia purpurea subsp. viminea,four-spot,N,49908,2209,57147
Clarkia rubicunda,farewell-to-spring,N,19597,2212,57148
Clarkia tembloriensis subsp. tembloriensis,temblor range clarkia,N,49915,2223,79746
Clarkia unguiculata,elegant clarkia,N,19605,2224,51735
Claytonia exigua subsp. exigua,little spring beauty,N,76950,2232,57234
Claytonia exigua subsp. glauca,,N,76949,2233,57229
Claytonia gypsophiloides,candy stripers,N,19620,2234,55344
Claytonia parviflora subsp. parviflora,,N,74695,2242,58296
Claytonia perfoliata subsp. mexicana,,N,76956,2245,53004
Claytonia perfoliata subsp. perfoliata,Miner's lettuce,N,49921,2246,53002
Claytonia rubra subsp. depressa,red stem spring beauty,N,76957,2248,79751
Clematis lasiantha,pipestems,N,19682,2254,49876
Clematis ligusticifolia,virgin's bower,N,19683,2255,58996
Clinopodium douglasii,yerba buena,N,80483,11541,53203
Clintonia andrewsiana,,N,19850,2265,51647
Collinsia bartsiifolia var. bartsiifolia,,N,56710,2272,80607
Collinsia bartsiifolia var. davidsonii,,N,56711,2273,58330
Collinsia heterophylla,Chinese houses,N,19994,2280,47325
Collinsia parviflora,blue-eyed mary,N,20000,2285,59013
Collinsia sparsiflora var. collina,,N,56722,2290,57290
Collinsia sparsiflora var. sparsiflora,,N,56723,2291,64295
Collinsia tinctoria,,N,20008,2293,51850
Collomia diversifolia,serpentine collomia,N,20020,2299,62230,126,4.3
Collomia heterophylla,,N,20022,2301,52996
